Title	Genres	id	imdb_id	Description	ProductionCompanies	PublicationDate	Rating	VoteCount	RecentComments
The American President	[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]	9087	tt0112346	Widowed U.S. president Andrew Shepherd, one of the world's most powerful men, can have anything he wants -- and what he covets most is Sydney Ellen Wade, a Washington lobbyist. But Shepherd's attempts at courting her spark wild rumors and decimate his approval ratings.	[{'name': 'Columbia Pictures', 'id': 5}, {'name': 'Castle Rock Entertainment', 'id': 97}]	1995-11-17T00:00:00	6.5	199	[]
Dracula: Dead and Loving It	[{'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}]	12110	tt0112896	When a lawyer shows up at the vampire's doorstep, he falls prey to his charms and joins him in his search for fresh blood. Enter Dr. van Helsing, who may be the only one able to vanquish the count.	[{'name': 'Columbia Pictures', 'id': 5}, {'name': 'Castle Rock Entertainment', 'id': 97}, {'name': 'Enigma Pictures', 'id': 6368}]	1995-12-22T00:00:00	5.7	210	[]
Balto	[{'id': 10751, 'name': 'Family'}, {'id': 16, 'name': 'Animation'}, {'id': 12, 'name': 'Adventure'}]	21032	tt0112453	An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska.	[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Amblin Entertainment', 'id': 56}, {'name': 'Amblimation', 'id': 4105}]	1995-12-22T00:00:00	7.1	423	[]
Nixon	[{'id': 36, 'name': 'History'}, {'id': 18, 'name': 'Drama'}]	10858	tt0113987	An all-star cast powers this epic look at American President Richard M. Nixon, a man carrying the fate of the world on his shoulders while battling the self-destructive demands within. Spanning his troubled boyhood in California to the shocking Watergate scandal that would end his presidency.	[{'name': 'Hollywood Pictures', 'id': 915}, {'name': 'Cinergi Pictures Entertainment', 'id': 1504}]	1995-12-22T00:00:00	7.1	72	[]
Cutthroat Island	[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]	1408	tt0112760	Morgan Adams and her slave, William Shaw, are on a quest to recover the three portions of a treasure map. Unfortunately, the final portion is held by her murderous uncle, Dawg. Her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her pirate raids.	[{'name': 'Le Studio Canal+', 'id': 183}, {'name': 'Laurence Mark Productions', 'id': 415}, {'name': 'Metro-Goldwyn-Mayer (MGM)', 'id': 8411}, {'name': 'Carolco Pictures', 'id': 14723}]	1995-12-22T00:00:00	5.7	137	[]
Casino	[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]	524	tt0112641	The life of the gambling paradise – Las Vegas – and its dark mafia underbelly.	[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Légende Entreprises', 'id': 10898}, {'name': 'Syalis DA', 'id': 11583}, {'name': 'De Fina-Cappa', 'id': 11584}]	1995-11-22T00:00:00	7.8	1343	[]
Sense and Sensibility	[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]	4584	tt0114388	Rich Mr. Dashwood dies, leaving his second wife and her daughters poor by the rules of inheritance. Two daughters are the titular opposites.	[{'name': 'Columbia Pictures Corporation', 'id': 441}, {'name': 'Mirage Enterprises', 'id': 932}]	1995-12-13T00:00:00	7.2	364	[]
Four Rooms	[{'id': 80, 'name': 'Crime'}, {'id': 35, 'name': 'Comedy'}]	5	tt0113101	It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.	[{'name': 'Miramax Films', 'id': 14}, {'name': 'A Band Apart', 'id': 59}]	1995-12-09T00:00:00	6.5	539	[]
Ace Ventura: When Nature Calls	[{'id': 80, 'name': 'Crime'}, {'id': 35, 'name': 'Comedy'}, {'id': 12, 'name': 'Adventure'}]	9273	tt0112281	Summoned from an ashram in Tibet, Ace finds himself on a perilous journey into the jungles of Africa to find Shikaka, the missing sacred animal of the friendly Wachati tribe. He must accomplish this before the wedding of the Wachati's Princess to the prince of the warrior Wachootoos. If Ace fails, the result will be a vicious tribal war.	[{'name': 'O Entertainment', 'id': 5682}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'Morgan Creek Productions', 'id': 10210}]	1995-11-10T00:00:00	6.1	1128	[]
Money Train	[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]	11517	tt0113845	"A vengeful New York transit cop decides to steal a trainload of subway fares; his foster brother, a fellow cop, tries to protect him."	[{'name': 'Columbia Pictures', 'id': 5}]	1995-11-21T00:00:00	5.4	224	[]
Get Shorty	[{'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]	8012	tt0113161	"Chili Palmer is a Miami mobster who gets sent by his boss, the psychopathic ""Bones"" Barboni, to collect a bad debt from Harry Zimm, a Hollywood producer who specializes in cheesy horror films. When Chili meets Harry's leading lady, the romantic sparks fly. After pitching his own life story as a movie idea, Chili learns that being a mobster and being a Hollywood producer really aren't all that different."	[{'name': 'Jersey Films', 'id': 216}, {'name': 'Metro-Goldwyn-Mayer (MGM)', 'id': 8411}]	1995-10-20T00:00:00	6.4	305	[]
Copycat	[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]	1710	tt0112722	An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.	[{'name': 'Regency Enterprises', 'id': 508}, {'name': 'New Regency Pictures', 'id': 10104}]	1995-10-27T00:00:00	6.5	199	[]
Assassins	[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]	9691	tt0112401	Assassin Robert Rath arrives at a funeral to kill a prominent mobster, only to witness a rival hired gun complete the job for him -- with grisly results. Horrified by the murder of innocent bystanders, Rath decides to take one last job and then return to civilian life. But finding his way out of the world of contract killing grows ever more dangerous as Rath falls for his female target and becomes a marked man himself.	[{'name': 'Silver Pictures', 'id': 1885}, {'name': 'Canal+', 'id': 5358}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'Dino De Laurentiis Company', 'id': 10308}, {'name': 'Donner/Shuler-Donner Productions', 'id': 23397}, {'name': 'Evansgideon/Lazar', 'id': 25061}]	1995-10-06T00:00:00	6.0	394	[]
Powder	[{'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]	12665	tt0114168	"Harassed by classmates who won't accept his shocking appearance, a shy young man known as ""Powder"" struggles to fit in. But the cruel taunts stop when Powder displays a mysterious power that allows him to do incredible things. This phenomenon changes the lives of all those around him in ways they never could have imagined."	[{'name': 'Caravan Pictures', 'id': 175}, {'name': 'Hollywood Pictures', 'id': 915}]	1995-10-27T00:00:00	6.3	143	[]
Leaving Las Vegas	[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]	451	tt0113627	Ben Sanderson, an alcoholic Hollywood screenwriter who lost everything because of his drinking, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.	[{'name': 'United Artists', 'id': 60}, {'name': 'Intial Productions', 'id': 15547}]	1995-10-27T00:00:00	7.1	365	[]
Othello	[{'id': 18, 'name': 'Drama'}]	16420	tt0114057	The evil Iago pretends to be friend of Othello in order to manipulate him to serve his own end in the film version of this Shakespeare classic.	[{'name': 'Columbia Pictures', 'id': 5}, {'name': 'Castle Rock Entertainment', 'id': 97}]	1995-12-15T00:00:00	7.0	33	[]
Now and Then	[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]	9263	tt0114011	Waxing nostalgic about the bittersweet passage from childhood to puberty in this tender coming-of-age tale, four childhood girlfriends -- Teeny, Chrissy, Samantha and Roberta -- recall the magical summer of 1970. During their walk down memory lane, they reconcile experiences with boys, secrets, bullies and more.	[{'name': 'New Line Cinema', 'id': 12}]	1995-10-20T00:00:00	6.6	91	[]
Persuasion	[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]	17015	tt0114117	This film adaptation of Jane Austen's last novel follows Anne Elliot, the daughter of a financially troubled aristocratic family, who is persuaded to break her engagement to Frederick Wentworth, a young sea captain of meager means. Years later, money troubles force Anne's father to rent out the family estate to Admiral Croft, and Anne is again thrown into company with Frederick -- who is now rich, successful and perhaps still in love with Anne.	[{'name': 'BBC Films', 'id': 288}]	1995-09-27T00:00:00	7.4	36	[]
The City of Lost Children	[{'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}]	902	tt0112682	A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.	"[{'name': 'Procirep', 'id': 311}, {'name': 'Constellation Productions', 'id': 590}, {'name': 'France 3 Cinéma', 'id': 591}, {'name': 'Claudie Ossard Productions', 'id': 592}, {'name': 'Eurimages', 'id': 850}, {'name': 'MEDIA Programme of the European Union', 'id': 851}, {'name': 'Cofimage 5', 'id': 1871}, {'name': 'Televisión Española (TVE)', 'id': 6639}, {'name': 'Tele München Fernseh Produktionsgesellschaft (TMG)', 'id': 7237}, {'name': ""Club d'Investissement Média"", 'id': 8170}, {'name': 'Canal+ España', 'id': 9335}, {'name': 'Elías Querejeta Producciones Cinematográficas S.L.', 'id': 12009}, {'name': 'Centre National de la Cinématographie (CNC)', 'id': 18367}, {'name': 'Victoires Productions', 'id': 25020}, {'name': 'Constellation', 'id': 25021}, {'name': 'Lumière Pictures', 'id': 25129}, {'name': 'Canal+', 'id': 47532}, {'name': 'Studio Image', 'id': 68517}, {'name': 'Cofimage 4', 'id': 79437}, {'name': 'Ossane', 'id': 79438}, {'name': 'Phoenix Images', 'id': 79439}]"	1995-05-16T00:00:00	7.6	308	[]
Shanghai Triad	[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]	37557	tt0115012	A provincial boy related to a Shanghai crime family is recruited by his uncle into cosmopolitan Shanghai in the 1930s to be a servant to a ganglord's mistress.	[{'name': 'Ministère des Affaires Étrangères', 'id': 2588}, {'name': 'Alpha Films', 'id': 4507}, {'name': 'La Sept Cinéma', 'id': 23647}]	1995-04-30T00:00:00	6.5	17	[]
Dangerous Minds	[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]	9909	tt0112792	Former Marine Louanne Johnson lands a gig teaching in a pilot program for bright but underachieving teens at a notorious inner-city high school. After having a terrible first day, she decides she must throw decorum to the wind. When Johnson returns to the classroom, she does so armed with a no-nonsense attitude informed by her military training and a fearless determination to better the lives of her students -- no matter what the cost.	[{'name': 'Hollywood Pictures', 'id': 915}, {'name': 'Via Rosa Productions', 'id': 10103}, {'name': 'Don Simpson/Jerry Bruckheimer Films', 'id': 10288}]	1995-08-11T00:00:00	6.4	249	[]
Twelve Monkeys	[{'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}]	63	tt0114746	In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly, and patient Jeffrey Goines, the son of a famous virus expert, who may hold the key to the mysterious rogue group, the Army of the 12 Monkeys, thought to be responsible for unleashing the killer disease.	[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Atlas Entertainment', 'id': 507}, {'name': 'Classico', 'id': 17031}]	1995-12-29T00:00:00	7.4	2470	[]
Wings of Courage	[{'id': 10749, 'name': 'Romance'}, {'id': 12, 'name': 'Adventure'}]	78802	tt0114952		[{'name': 'Iwerks Entertainment', 'id': 70801}]	1996-09-18T00:00:00	6.8	4	[]
Babe	[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]	9598	tt0112431	Babe is a little pig who doesn't quite know his place in the world. With a bunch of odd friends, like Ferdinand the duck who thinks he is a rooster and Fly the dog he calls mom, Babe realizes that he has the makings to become the greatest sheep pig of all time, and Farmer Hogget knows it. With the help of the sheep dogs Babe learns that a pig can be anything that he wants to be.	[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Kennedy Miller Productions', 'id': 2537}]	1995-07-18T00:00:00	6.0	756	[]
Carrington	[{'id': 36, 'name': 'History'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]	47018	tt0112637	The story of the relationship between painter Dora Carrington and author Lytton Strachey in a World War One England of cottages and countryside. Although platonic due to Strachey's homosexuality, the relationship was nevertheless a deep and complicated one. When Carrington did develop a more physical relationship with soldier Ralph Partridge, Strachey was able to welcome him as a friend, although Partridge remained somewhat uneasy, not so much with Strachey's lifestyle and sexual orientation as with the fact that he was a conscientious objector.	[{'name': 'StudioCanal', 'id': 694}, {'name': 'Cinéa', 'id': 874}, {'name': 'Euston Films', 'id': 8363}, {'name': 'Freeway Films', 'id': 19316}, {'name': 'European Co-production Fund', 'id': 30226}, {'name': 'Polygram Filmed Entertainment', 'id': 31080}, {'name': 'Orsans Productions', 'id': 44821}]	1995-11-08T00:00:00	6.4	16	[]
Dead Man Walking	[{'id': 18, 'name': 'Drama'}]	687	tt0112818	A justice drama based on a true story about a man on death row who in his last days forms a strong relationship with a nun who teaches him forgiveness and gives him spirituality as she accompanies him to his execution. Susan Sarandon won an Oscar for best female actress for her convincing portrayal of Sister Helen Prejean.	[{'name': 'Havoc', 'id': 406}, {'name': 'PolyGram Filmed Entertainment', 'id': 1382}, {'name': 'Working Title Films', 'id': 10163}]	1995-12-29T00:00:00	7.3	350	[]
Across the Sea of Time	[{'id': 12, 'name': 'Adventure'}, {'id': 36, 'name': 'History'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]	139405	tt0112286	A young Russian boy, Thomas Minton, travels to New York as a passenger on a Russian freighter. Close to Ellis Island he gets off and thus starts his journey to America the same way as all immigrants in former times. Thomas is searching for the family of one of his ancestors, who had emigrated decades ago, but once sent a letter home together with a sample of his new profession: 3D-Photography. The boy follows his relative's traces by counter-checking the old 3D-Photographs of New York (using an antique viewer) with the same places and how they look today. This way, the audience gets to see the Big Apple in former times as well as today.	[{'name': 'Sony New Technologies', 'id': 53390}]	1995-10-20T00:00:00	3.5	2	[]
It Takes Two	[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 10749, 'name': 'Romance'}]	33689	tt0113442	Identical 9-year-olds from very different backgrounds: orphaned Amanda and wealthy Alyssa meet at summer camp and decide to switch places -- and play matchmaker between Alyssa's dad, Roger, and the kind social worker who cares for Amanda.	[{'name': 'Dualstar Productions', 'id': 6130}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'Rysher Entertainment', 'id': 11661}, {'name': 'Orr & Cruickshank', 'id': 89131}]	1995-11-17T00:00:00	6.1	149	[]
Clueless	[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]	9603	tt0112697	Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other. Emboldened by her success, she decides to give hopelessly klutzy new student Tai a makeover. When Tai becomes more popular than she is, Cher realizes that her disapproving ex-stepbrother was right about how misguided she was -- and falls for him.	[{'name': 'Paramount Pictures', 'id': 4}]	1995-07-19T00:00:00	6.9	828	[]
Cry, the Beloved Country	[{'id': 18, 'name': 'Drama'}]	34615	tt0112749	A South-African preacher goes to search for his wayward son who has committed a crime in the big city.	[{'name': 'Miramax', 'id': 53009}, {'name': 'Distant Horizon', 'id': 85681}, {'name': 'Alpine Pty Limited', 'id': 89840}]	1995-12-15T00:00:00	6.7	13	[]
Richard III	[{'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]	31174	tt0114279	Shakespeare's Play transplanted into a 1930s setting.	[{'name': 'British Screen', 'id': 871}, {'name': 'Mayfair Entertainment International', 'id': 34237}]	1995-12-29T00:00:00	6.9	50	[]
Dead Presidents	[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]	11443	tt0112819	"Depicts a heist of old bills, retired from circulation and destined by the government to be ""money to burn"". However, more broadly, it addresses the issues of Black Americans' involvement in the Vietnam War and their subsequent disillusionment with progress in social issues and civil rights back home in the United States, during the 1960s."	[{'name': 'Caravan Pictures', 'id': 175}, {'name': 'Underworld Entertainment', 'id': 476}, {'name': 'Hollywood Pictures', 'id': 915}]	1995-10-06T00:00:00	6.6	80	[]
Restoration	[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]	35196	tt0114272	An aspiring young physician, Robert Merivel found himself in the service of King Charles II and saves the life of someone close to the King. Merivel joins the King's court and lives the high life provided to someone of his position. Merivel is ordered to marry his King's mistress in order to divert the queens suspicions. He is given one order by the king and that is not to fall in love. The situation worsens when Merivel finds himself in love with his new wife. Eventually, the King finds out and relieves Merivel of his position and wealth. His fall from grace leaves Merivel where he first started. And through his travels and reunions with an old friend, he rediscovers his love for true medicine and what it really means to be a physician.	[{'name': 'Miramax Films', 'id': 14}]	1995-12-29T00:00:00	6.3	30	[]
Mortal Kombat	[{'id': 28, 'name': 'Action'}, {'id': 14, 'name': 'Fantasy'}]	9312	tt0113855	For nine generations an evil sorcerer has been victorious in hand-to-hand battle against his mortal enemies. If he wins a tenth Mortal Kombat tournament, desolation and evil will reign over the multiverse forever. To save Earth, three warriors must overcome seemingly insurmountable odds, their own inner demons, and superhuman foes in this action/adventure movie based on one of the most popular video games of all time.	[{'name': 'New Line Cinema', 'id': 12}, {'name': 'Threshold Entertainment', 'id': 4174}]	1995-08-18T00:00:00	5.4	452	[]
To Die For	[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}]	577	tt0114681	Susan wants to work in television and will therefore do anything it takes, even if it means killing her husband. A very dark comedy from independent director Gus Van Sant with a brilliant Nicole Kidman in the leading role.	[{'name': 'The Rank Organisation', 'id': 364}, {'name': 'Columbia Pictures Corporation', 'id': 441}]	1995-05-20T00:00:00	6.7	177	[]
How To Make An American Quilt	[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]	11861	tt0113347	Soon-to-be-wed graduate student Finn Dodd develops cold feet when she suspects her fiancé is cheating on her. In order to clear her head, Finn visits her grandmother, Hy, and great aunt, Glady Joe Cleary, in Grasse, Calif. There, Finn learns that Hy and Glady Joe are members of a group of passionate quilters, and over the course of her visit she is regaled with tales of love and life by women who have collected rich experiences and much wisdom.	[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Amblin Entertainment', 'id': 56}]	1995-10-06T00:00:00	6.5	38	[]
Se7en	[{'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]	807	tt0114369	"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case."	[{'name': 'New Line Cinema', 'id': 12}, {'name': 'Juno Pix', 'id': 4286}, {'name': 'Cecchi Gori Pictures', 'id': 65394}]	1995-09-22T00:00:00	8.1	5915	[]
Pocahontas	[{'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]	10530	tt0114148	History comes gloriously to life in Disney's epic animated tale about love and adventure in the New World. Pocahontas is a Native American woman whose father has arranged for her to marry her village's best warrior. But a vision tells her change is coming, and soon she comes face to face with it in the form of Capt. John Smith.	[{'name': 'Walt Disney Pictures', 'id': 2}, {'name': 'Walt Disney Feature Animation', 'id': 10217}]	1995-06-14T00:00:00	6.7	1509	[]
